# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|  61|      27|      0|    0.00|  0.00|                 0|             22|            106|              44|     27|            27|            1|
|  62|      24|      0|    0.09|  0.02|                 2|             22|             94|              38|     24|            24|            1|
|  63|      15|      0|    0.07|  0.02|                 1|             15|             58|              16|     15|            15|            1|
|  64|      24|      0|    0.00|  0.00|                 0|             19|             94|              36|     24|            24|            1|
|  65|      17|      0|    0.12|  0.03|                 2|             17|             66|              24|     17|            17|            1|
|  66|       4|      0|    0.00|  0.00|                 0|              1|             14|               0|      4|             4|            1|
|  67|       3|      0|    0.00|  0.00|                 0|              1|             10|               0|      3|             3|            1|
|  68|      31|      0|    0.00|  0.00|                 0|             21|            122|              46|     31|            31|            1|
|  69|       5|      0|    0.00|  0.00|                 0|              4|             18|               2|      5|             5|            1|
|  70|      20|      0|    0.00|  0.00|                 0|             17|             78|              30|     20|            20|            1|
|  71|      18|      0|    0.00|  0.00|                 0|             11|             70|              26|     18|            18|            1|
|  72|      31|      0|    0.05|  0.01|                 1|             20|            122|              56|     31|            31|            1|
|  73|      12|      0|    0.00|  0.00|                 0|              7|             46|              20|     12|            12|            1|
|  74|       3|      0|    0.00|  0.00|                 0|              1|             10|               0|      3|             3|            1|
|  75|      31|      0|    0.00|  0.00|                 0|             20|            122|              36|     31|            31|            1|
|  76|      27|      0|    0.05|  0.01|                 1|             20|            106|              44|     27|            27|            1|
|  77|      19|      0|    0.00|  0.00|                 0|             16|             74|              24|     19|            19|            1|
|  78|      13|      0|    0.00|  0.00|                 0|             14|             50|              18|     13|            13|            1|
|  79|      57|      0|    0.00|  0.00|                 0|             55|            226|              96|     57|            57|            1|
|  80|      36|      0|    0.00|  0.00|                 0|             22|            142|              54|     36|            36|            1|
|  81|      54|      0|    0.03|  0.00|                 1|             40|            214|              84|     54|            54|            1|
|  82|      19|      0|    0.05|  0.01|                 1|             21|             74|              30|     19|            19|            1|
|  83|      33|      0|    0.00|  0.00|                 0|             21|            130|              52|     33|            33|            1|
|  84|      32|      0|    0.00|  0.00|                 0|             26|            127|              47|     32|            32|            1|
|  85|      27|      0|    0.06|  0.01|                 1|             17|            106|              36|     27|            27|            1|
|  86|      22|      0|    0.06|  0.01|                 1|             16|             86|              26|     22|            22|            1|
|  87|      31|      0|    0.00|  0.00|                 0|             23|            122|              50|     31|            31|            1|
|  88|      37|      0|    0.04|  0.01|                 1|             27|            146|              48|     37|            37|            1|
|  89|      36|      0|    0.00|  0.00|                 0|             25|            142|              64|     36|            36|            1|
|  90|      23|      0|    0.00|  0.00|                 0|             17|             90|              34|     23|            23|            1|
|  91|      53|      0|    0.00|  0.00|                 0|             40|            210|              78|     53|            53|            1|
|  92|      31|      0|    0.04|  0.01|                 1|             26|            122|              46|     31|            31|            1|
|  93|      23|      0|    0.06|  0.01|                 1|             18|             90|              38|     23|            23|            1|
|  94|      29|      0|    0.00|  0.00|                 0|             29|            114|              46|     29|            29|            1|
|  95|      28|      0|    0.00|  0.00|                 0|             21|            110|              40|     28|            28|            1|
|  96|      30|      0|    0.03|  0.01|                 1|             31|            118|              46|     30|            30|            1|
|  97|      10|      0|    0.00|  0.00|                 0|             10|             38|              12|     10|            10|            1|
|  98|      52|      0|    0.00|  0.00|                 0|             45|            206|              84|     52|            52|            1|
|  99|      42|      0|    0.06|  0.01|                 2|             33|            166|              60|     42|            42|            1|
| 100|      17|      0|    0.07|  0.02|                 1|             14|             66|              24|     17|            17|            1|
| 101|      15|      0|    0.08|  0.02|                 1|             12|             58|              10|     15|            15|            1|
| 102|       5|      0|    0.00|  0.00|                 0|              6|             18|               6|      5|             5|            1|
| 103|      33|      0|    0.00|  0.00|                 0|             26|            130|              52|     33|            33|            1|
| 104|      11|      0|    0.00|  0.00|                 0|              7|             42|              14|     11|            11|            1|
| 105|      36|      0|    0.07|  0.01|                 2|             30|            142|              52|     36|            36|            1|
| 106|      54|      0|    0.00|  0.00|                 0|             43|            214|              88|     54|            54|            1|
| 107|      15|      0|    0.07|  0.02|                 1|             15|             58|              18|     15|            15|            1|
| 108|      33|      0|    0.00|  0.00|                 0|             22|            130|              50|     33|            33|            1|
| 109|      32|      0|    0.10|  0.02|                 2|             20|            126|              46|     32|            32|            1|
| 110|      40|      0|    0.00|  0.00|                 0|             37|            158|              64|     40|            40|            1|
| 111|       8|      0|    0.00|  0.00|                 0|              3|             30|               6|      8|             8|            1|
| 112|      22|      0|    0.00|  0.00|                 0|             16|             86|              30|     22|            22|            1|
| 113|      44|      0|    0.03|  0.01|                 1|             32|            174|              66|     44|            44|            1|
| 114|      18|      0|    0.07|  0.01|                 1|             15|             70|              16|     18|            18|            1|
| 115|      22|      0|    0.00|  0.00|                 0|             13|             86|              28|     22|            22|            1|
| 116|      22|      0|    0.00|  0.00|                 0|             16|             86|              34|     22|            22|            1|
| 117|      13|      0|    0.14|  0.02|                 1|              7|             50|              18|     13|            13|            1|
| 118|      26|      0|    0.00|  0.00|                 0|             28|            102|              42|     26|            26|            1|
| 119|      21|      0|    0.00|  0.00|                 0|             13|             82|              20|     21|            21|            1|
| 120|      26|      0|    0.04|  0.01|                 1|             26|            102|              38|     26|            26|            1|
| 121|      19|      0|    0.07|  0.01|                 1|             15|             74|              24|     19|            19|            1|
| 122|      19|      0|    0.10|  0.03|                 2|             20|             74|              18|     19|            19|            1|
| 123|       5|      0|    0.00|  0.00|                 0|              4|             18|               0|      5|             5|            1|
| 124|      24|      0|    0.00|  0.00|                 0|             20|             94|              36|     24|            24|            1|
| 125|      21|      0|    0.00|  0.00|                 0|             18|             82|              32|     21|            21|            1|
| 126|      27|      0|    0.00|  0.00|                 0|             18|            106|              44|     27|            27|            1|
| 127|      11|      0|    0.00|  0.00|                 0|             11|             42|              10|     11|            11|            1|
| 128|      13|      0|    0.00|  0.00|                 0|             10|             50|              16|     13|            13|            1|
| 129|      44|      0|    0.06|  0.01|                 2|             33|            174|              56|     44|            44|            1|
| 130|      20|      0|    0.06|  0.01|                 1|             17|             78|              34|     20|            20|            1|
| 131|      20|      0|    0.07|  0.01|                 1|             14|             78|              30|     20|            20|            1|
| 132|      30|      0|    0.00|  0.00|                 0|             23|            118|              52|     30|            30|            1|
| 133|      58|      0|    0.05|  0.01|                 2|             43|            230|              88|     58|            58|            1|
| 134|      21|      0|    0.07|  0.01|                 1|             14|             82|              26|     21|            21|            1|
| 135|      27|      0|    0.00|  0.00|                 0|             20|            106|              38|     27|            27|            1|
| 136|      21|      0|    0.00|  0.00|                 0|             19|             82|              38|     21|            21|            1|
| 137|      13|      0|    0.00|  0.00|                 0|             10|             50|              20|     13|            13|            1|
| 138|      25|      0|    0.00|  0.00|                 0|             19|             98|              32|     25|            25|            1|
| 139|      34|      0|    0.00|  0.00|                 0|             21|            134|              50|     34|            34|            1|
| 140|      13|      0|    0.00|  0.00|                 0|             10|             50|              18|     13|            13|            1|
| 141|      20|      0|    0.00|  0.00|                 0|             12|             78|              24|     20|            20|            1|
| 142|      39|      0|    0.04|  0.01|                 1|             27|            154|              50|     39|            39|            1|
| 143|      30|      0|    0.04|  0.01|                 1|             26|            118|              38|     30|            30|            1|
| 144|      35|      0|    0.00|  0.00|                 0|             27|            138|              50|     35|            35|            1|
| 145|      25|      0|    0.05|  0.01|                 1|             19|             98|              32|     25|            25|            1|
| 146|       9|      0|    0.00|  0.00|                 0|              5|             34|               2|      9|             9|            1|
| 147|       8|      0|    0.00|  0.00|                 0|              5|             30|              10|      8|             8|            1|
| 148|      30|      0|    0.00|  0.00|                 0|             14|            118|              32|     30|            30|            1|
| 149|      30|      0|    0.05|  0.01|                 1|             21|            118|              44|     30|            30|            1|
| 150|      15|      0|    0.00|  0.00|                 0|             12|             58|              10|     15|            15|            1|
| 151|      16|      0|    0.00|  0.00|                 0|              8|             62|              20|     16|            16|            1|
| 152|      19|      0|    0.00|  0.00|                 0|             18|             74|              30|     19|            19|            1|
| 153|      20|      0|    0.06|  0.01|                 1|             18|             78|              32|     20|            20|            1|
| 154|      10|      0|    0.00|  0.00|                 0|              7|             38|              12|     10|            10|            1|
| 155|      20|      0|    0.00|  0.00|                 0|             13|             78|              26|     20|            20|            1|
| 156|      14|      0|    0.00|  0.00|                 0|             10|             54|              20|     14|            14|            1|
| 157|      19|      0|    0.00|  0.00|                 0|             14|             74|              26|     19|            19|            1|
| 158|      29|      0|    0.04|  0.01|                 1|             26|            114|              46|     29|            29|            1|
| 159|      19|      0|    0.11|  0.03|                 2|             19|             74|              26|     19|            19|            1|
| 160|       8|      0|    0.00|  0.00|                 0|              6|             30|               8|      8|             8|            1|
| 161|      24|      0|    0.00|  0.00|                 0|             15|             94|              28|     24|            24|            1|
| 162|      39|      0|    0.00|  0.00|                 0|             21|            154|              52|     39|            39|            1|
| 163|      15|      0|    0.00|  0.00|                 0|             11|             58|              18|     15|            15|            1|
| 164|      28|      0|    0.00|  0.00|                 0|             16|            110|              36|     28|            28|            1|
| 165|      31|      0|    0.00|  0.00|                 0|             21|            122|              42|     31|            31|            1|
| 166|      21|      0|    0.06|  0.01|                 1|             16|             82|              28|     21|            21|            1|
| 167|      28|      0|    0.00|  0.00|                 0|             25|            110|              42|     28|            28|            1|
| 168|      11|      0|    0.00|  0.00|                 0|              8|             42|              14|     11|            11|            1|
| 169|      23|      0|    0.00|  0.00|                 0|             20|             90|              34|     23|            23|            1|
| 170|      27|      0|    0.07|  0.01|                 1|             15|            106|              32|     27|            27|            1|
| 171|      16|      0|    0.00|  0.00|                 0|              9|             62|              16|     16|            16|            1|
| 172|      23|      0|    0.00|  0.00|                 0|             17|             90|              40|     23|            23|            1|
| 173|      25|      0|    0.00|  0.00|                 0|             16|             98|              34|     25|            25|            1|
| 174|      20|      0|    0.00|  0.00|                 0|             15|             78|              20|     20|            20|            1|
| 175|      22|      0|    0.00|  0.00|                 0|             18|             86|              28|     22|            22|            1|
| 176|      26|      0|    0.00|  0.00|                 0|             18|            102|              38|     26|            26|            1|
| 177|      23|      0|    0.06|  0.01|                 1|             18|             90|              36|     23|            23|            1|
| 178|      23|      0|    0.00|  0.00|                 0|             22|             90|              36|     23|            23|            1|
| 179|       7|      0|    0.00|  0.00|                 0|              4|             26|               6|      7|             7|            1|
| 180|      10|      0|    0.12|  0.03|                 1|              8|             38|               6|     10|            10|            1|
| 181|      49|      0|    0.00|  0.00|                 0|             36|            194|              78|     49|            49|            1|
| 182|      29|      0|    0.00|  0.00|                 0|             12|            114|              42|     29|            29|            1|
| 183|      11|      0|    0.00|  0.00|                 0|              9|             42|              12|     11|            11|            1|
| 184|       4|      0|    0.00|  0.00|                 0|              4|             14|               4|      4|             4|            1|
| 185|      11|      0|    0.00|  0.00|                 0|              7|             42|              12|     11|            11|            1|
| 186|      27|      0|    0.00|  0.00|                 0|             19|            106|              40|     27|            27|            1|
| 187|      21|      0|    0.10|  0.01|                 1|             10|             82|              24|     21|            21|            1|
| 188|      14|      0|    0.00|  0.00|                 0|             11|             54|              22|     14|            14|            1|
| 189|      16|      0|    0.00|  0.00|                 0|             10|             62|              28|     16|            16|            1|
| 190|      38|      0|    0.03|  0.01|                 1|             29|            150|              58|     38|            38|            1|
| 191|      19|      0|    0.06|  0.01|                 1|             17|             74|              28|     19|            19|            1|
| 192|       9|      0|    0.17|  0.03|                 1|              6|             34|              12|      9|             9|            1|
| 193|      28|      0|    0.00|  0.00|                 0|             19|            110|              44|     28|            28|            1|
| 194|      39|      0|    0.04|  0.01|                 1|             24|            154|              64|     39|            39|            1|
| 195|       9|      0|    0.00|  0.00|                 0|              8|             34|              10|      9|             9|            1|
| 196|      26|      0|    0.00|  0.00|                 0|             19|            102|              44|     26|            26|            1|
| 197|      16|      0|    0.14|  0.03|                 2|             14|             62|              24|     16|            16|            1|
| 198|      12|      0|    0.14|  0.02|                 1|              7|             46|              10|     12|            12|            1|
| 199|      29|      0|    0.06|  0.01|                 1|             16|            114|              40|     29|            29|            1|
| 200|      12|      0|    0.00|  0.00|                 0|              8|             46|              16|     12|            12|            1|
| 201|      13|      0|    0.00|  0.00|                 0|             11|             50|              16|     13|            13|            1|
| 202|      17|      0|    0.17|  0.03|                 2|             12|             66|              10|     17|            17|            1|
| 203|      19|      0|    0.00|  0.00|                 0|             10|             74|              22|     19|            19|            1|
| 204|       7|      0|    0.00|  0.00|                 0|              4|             26|               0|      7|             7|            1|
| 205|      20|      0|    0.00|  0.00|                 0|             17|             78|              26|     20|            20|            1|
| 206|      21|      0|    0.00|  0.00|                 0|             15|             82|              30|     21|            21|            1|
| 207|      58|      0|    0.04|  0.01|                 2|             47|            230|              88|     58|            58|            1|
| 208|      41|      0|    0.05|  0.01|                 2|             38|            162|              58|     41|            41|            1|
| 209|      10|      0|    0.00|  0.00|                 0|              5|             38|              12|     10|            10|            1|
| 210|       2|      0|    0.00|  0.00|                 0|              1|              6|               0|      2|             2|            1|
| 211|      25|      0|    0.00|  0.00|                 0|             19|             98|              34|     25|            25|            1|
| 212|      33|      0|    0.00|  0.00|                 0|             26|            130|              46|     33|            33|            1|
| 213|      28|      0|    0.00|  0.00|                 0|             21|            110|              36|     28|            28|            1|
| 214|      33|      0|    0.00|  0.00|                 0|             27|            130|              54|     33|            33|            1|
| 215|      41|      0|    0.00|  0.00|                 0|             33|            162|              60|     41|            41|            1|
| 216|      27|      0|    0.05|  0.01|                 1|             20|            106|              44|     27|            27|            1|
| 217|      19|      0|    0.00|  0.00|                 0|             13|             74|              28|     19|            19|            1|
| 218|      30|      0|    0.04|  0.01|                 1|             23|            118|              42|     30|            30|            1|
| 219|      21|      0|    0.07|  0.01|                 1|             14|             82|              26|     21|            21|            1|
| 220|      18|      0|    0.07|  0.01|                 1|             14|             70|              22|     18|            18|            1|
| 221|      27|      0|    0.00|  0.00|                 0|             25|            106|              42|     27|            27|            1|
| 222|      22|      0|    0.11|  0.02|                 2|             18|             86|              20|     22|            22|            1|
| 223|      27|      0|    0.00|  0.00|                 0|             23|            106|              40|     27|            27|            1|
| 224|      34|      0|    0.03|  0.01|                 1|             29|            134|              52|     34|            34|            1|
| 225|      31|      0|    0.00|  0.00|                 0|             23|            122|              44|     31|            31|            1|
| 226|      33|      0|    0.00|  0.00|                 0|             21|            130|              48|     33|            33|            1|
| 227|      26|      0|    0.04|  0.01|                 1|             23|            102|              42|     26|            26|            1|
| 228|      53|      0|    0.02|  0.00|                 1|             45|            210|              76|     53|            53|            1|
| 229|      19|      0|    0.00|  0.00|                 0|             15|             74|              30|     19|            19|            1|
| 230|      35|      0|    0.00|  0.00|                 0|             27|            138|              62|     35|            35|            1|
| 231|      29|      0|    0.00|  0.00|                 0|             21|            114|              44|     29|            29|            1|
| 232|      28|      0|    0.00|  0.00|                 0|             25|            110|              46|     28|            28|            1|
| 233|      33|      0|    0.00|  0.00|                 0|             27|            130|              48|     33|            33|            1|
| 234|      38|      0|    0.00|  0.00|                 0|             32|            150|              58|     38|            38|            1|
| 235|      27|      0|    0.04|  0.01|                 1|             24|            106|              40|     27|            27|            1|
| 236|      29|      0|    0.00|  0.00|                 0|             22|            114|              38|     29|            29|            1|
| 237|      15|      0|    0.08|  0.02|                 1|             13|             58|              22|     15|            15|            1|
| 238|      23|      0|    0.05|  0.01|                 1|             19|             90|              36|     23|            23|            1|
| 239|      22|      0|    0.00|  0.00|                 0|             17|             86|              28|     22|            22|            1|
| 240|      20|      0|    0.00|  0.00|                 0|             16|             78|              24|     20|            20|            1|
| 241|      14|      0|    0.00|  0.00|                 0|             13|             54|              20|     14|            14|            1|
| 242|      24|      0|    0.06|  0.01|                 1|             16|             94|              36|     24|            24|            1|
| 243|      15|      0|    0.00|  0.00|                 0|             11|             58|              24|     15|            15|            1|
| 244|      19|      0|    0.00|  0.00|                 0|             16|             74|              30|     19|            19|            1|
| 245|       9|      0|    0.00|  0.00|                 0|              7|             34|               8|      9|             9|            1|
| 246|      28|      0|    0.00|  0.00|                 0|             20|            110|              40|     28|            28|            1|
| 247|      38|      0|    0.04|  0.01|                 1|             28|            150|              50|     38|            38|            1|
| 248|      31|      0|    0.00|  0.00|                 0|             26|            122|              46|     31|            31|            1|
| 249|      13|      0|    0.00|  0.00|                 0|              9|             50|              18|     13|            13|            1|
| 250|      19|      0|    0.00|  0.00|                 0|             12|             74|              20|     19|            19|            1|
| 251|      26|      0|    0.00|  0.00|                 0|             21|            102|              38|     26|            26|            1|
| 252|      27|      0|    0.00|  0.00|                 0|             18|            106|              38|     27|            27|            1|
| 253|      33|      0|    0.00|  0.00|                 0|             25|            130|              46|     33|            33|            1|
| 254|      28|      0|    0.00|  0.00|                 0|             21|            110|              44|     28|            28|            1|
| 255|      21|      0|    0.00|  0.00|                 0|             18|             82|              28|     21|            21|            1|
| 256|      30|      0|    0.00|  0.00|                 0|             23|            118|              44|     30|            30|            1|
| 257|      14|      0|    0.00|  0.00|                 0|             10|             54|              14|     14|            14|            1|
| 258|      32|      0|    0.00|  0.00|                 0|             21|            126|              50|     32|            32|            1|
| 259|      32|      0|    0.08|  0.02|                 2|             25|            126|              38|     32|            32|            1|
| 260|      21|      0|    0.00|  0.00|                 0|             10|             82|              28|     21|            21|            1|
| 261|      19|      0|    0.00|  0.00|                 0|             13|             75|              29|     19|            19|            1|
| 262|      17|      0|    0.00|  0.00|                 0|             12|             66|              20|     17|            17|            1|
| 263|      19|      0|    0.11|  0.03|                 2|             18|             74|              26|     19|            19|            1|
| 264|      14|      0|    0.00|  0.00|                 0|              5|             54|              10|     14|            14|            1|
| 265|      14|      0|    0.07|  0.02|                 1|             14|             54|              14|     14|            14|            1|
| 266|       9|      0|    0.00|  0.00|                 0|              8|             34|               6|      9|             9|            1|
| 267|       2|      0|    0.00|  0.00|                 0|              1|              6|               0|      2|             2|            1|
| 268|      16|      0|    0.00|  0.00|                 0|             12|             62|              24|     16|            16|            1|
| 269|      24|      0|    0.00|  0.00|                 0|             14|             94|              34|     24|            24|            1|
| 270|      10|      0|    0.00|  0.00|                 0|              7|             38|              16|     10|            10|            1|
| 271|      27|      0|    0.06|  0.01|                 1|             18|            106|              30|     27|            27|            1|
| 272|      37|      0|    0.04|  0.01|                 1|             28|            146|              58|     37|            37|            1|
| 273|      17|      0|    0.08|  0.02|                 1|             12|             66|              22|     17|            17|            1|
| 274|      26|      0|    0.00|  0.00|                 0|             18|            102|              36|     26|            26|            1|
| 275|      20|      0|    0.00|  0.00|                 0|             19|             78|              26|     20|            20|            1|
| 276|      31|      0|    0.00|  0.00|                 0|             21|            122|              42|     31|            31|            1|
| 277|      17|      0|    0.00|  0.00|                 0|             12|             66|              20|     17|            17|            1|
| 278|      23|      0|    0.00|  0.00|                 0|             21|             90|              38|     23|            23|            1|
| 279|      34|      0|    0.04|  0.01|                 1|             26|            134|              42|     34|            34|            1|
| 280|      11|      0|    0.12|  0.02|                 1|              8|             42|              10|     11|            11|            1|
| 281|      31|      0|    0.00|  0.00|                 0|             26|            122|              48|     31|            31|            1|
| 282|      30|      0|    0.00|  0.00|                 0|             29|            118|              46|     30|            30|            1|
| 283|      50|      0|    0.04|  0.01|                 2|             47|            198|              84|     50|            50|            1|
| 284|      14|      0|    0.00|  0.00|                 0|             11|             54|              20|     14|            14|            1|
| 285|      37|      0|    0.03|  0.01|                 1|             29|            146|              60|     37|            37|            1|
| 286|      27|      0|    0.00|  0.00|                 0|             26|            106|              44|     27|            27|            1|
| 287|      35|      0|    0.07|  0.01|                 2|             28|            138|              52|     35|            35|            1|
| 288|       2|      0|    0.00|  0.00|                 0|              1|              6|               0|      2|             2|            1|
| 289|      27|      0|    0.00|  0.00|                 0|             20|            106|              44|     27|            27|            1|
| 290|      30|      0|    0.00|  0.00|                 0|             19|            118|              46|     30|            30|            1|
| 291|      25|      0|    0.00|  0.00|                 0|             15|             98|              30|     25|            25|            1|
| 292|      20|      0|    0.00|  0.00|                 0|             16|             78|              36|     20|            20|            1|
| 293|      12|      0|    0.00|  0.00|                 0|              8|             46|              20|     12|            12|            1|
| 294|       2|      0|    0.00|  0.00|                 0|              1|              6|               0|      2|             2|            1|
| 295|      17|      0|    0.00|  0.00|                 0|             11|             66|              22|     17|            17|            1|
| 296|      19|      0|    0.00|  0.00|                 0|             14|             74|              24|     19|            19|            1|
| 297|      28|      0|    0.09|  0.02|                 2|             23|            110|              14|     28|            28|            1|
| 298|      19|      0|    0.13|  0.03|                 2|             15|             74|              30|     19|            19|            1|
| 299|      32|      0|    0.03|  0.01|                 1|             34|            126|              54|     32|            32|            1|
| 300|      23|      0|    0.06|  0.01|                 1|             17|             90|              38|     23|            23|            1|
| 301|      18|      0|    0.07|  0.01|                 1|             14|             70|              22|     18|            18|            1|
| 302|      32|      0|    0.00|  0.00|                 0|             21|            126|              50|     32|            32|            1|
| 303|       5|      0|    0.00|  0.00|                 0|              1|             18|               0|      5|             5|            1|
| 304|      41|      0|    0.00|  0.00|                 0|             33|            162|              62|     41|            41|            1|
| 305|      33|      0|    0.00|  0.00|                 0|             22|            130|              48|     33|            33|            1|
| 306|      11|      0|    0.00|  0.00|                 0|              7|             42|              16|     11|            11|            1|
| 307|      17|      0|    0.00|  0.00|                 0|             11|             66|              24|     17|            17|            1|
| 308|      18|      0|    0.00|  0.00|                 0|             11|             70|              24|     18|            18|            1|
