# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|  25|      22|      0|    1.00|  1.00|                14|             14|             14|               0|     22|            22|            1|
|  26|      17|      0|    1.00|  1.00|                13|             13|             13|               0|     17|            17|            1|
|  27|      14|      0|    1.00|  1.00|                 8|              8|              8|               0|     14|            14|            1|
|  28|      21|      0|    0.89|  0.85|                17|             19|             20|               1|     21|            21|            1|
|  29|      18|      0|    1.00|  1.00|                 9|              9|              9|               0|     18|            18|            1|
|  30|      26|      0|    0.94|  0.89|                17|             18|             19|               0|     26|            26|            1|
|  31|       8|      0|    1.00|  1.00|                 5|              5|              5|               0|      8|             8|            1|
|  32|      17|      0|    0.77|  0.83|                10|             13|             12|               0|     17|            17|            1|
|  33|      27|      0|    0.84|  0.94|                16|             19|             17|               1|     27|            27|            1|
|  34|      21|      0|    0.93|  1.00|                13|             14|             13|               0|     21|            21|            1|
|  35|      32|      0|    0.90|  0.93|                26|             29|             28|               1|     32|            32|            1|
|  36|      21|      0|    1.00|  1.00|                18|             18|             18|               0|     21|            21|            1|
|  37|       9|      0|    0.43|  0.33|                 3|              7|              9|               3|      9|             9|            1|
|  38|      12|      0|    0.54|  0.54|                 7|             13|             13|               4|     12|            12|            1|
|  39|      11|      0|    1.00|  1.00|                11|             11|             11|               0|     11|            11|            1|
|  40|      24|      0|    0.77|  0.85|                17|             22|             20|               2|     24|            24|            1|
|  41|      40|      0|    0.91|  0.97|                30|             33|             31|               0|     40|            40|            1|
|  42|      13|      0|    0.90|  0.90|                 9|             10|             10|               0|     13|            13|            1|
|  43|      14|      0|    0.50|  0.64|                 7|             14|             11|               3|     14|            14|            1|
|  44|      40|      0|    0.72|  0.74|                23|             32|             31|               4|     40|            40|            1|
|  45|      20|      0|    0.95|  0.90|                18|             19|             20|               1|     20|            20|            1|
|  46|      32|      0|    0.94|  0.76|                16|             17|             21|               1|     32|            32|            1|
|  47|      29|      0|    0.96|  0.96|                23|             24|             24|               0|     29|            29|            1|
|  48|      19|      0|    0.95|  1.00|                18|             19|             18|               0|     19|            19|            1|
|  49|      13|      0|    1.00|  0.92|                11|             11|             12|               0|     13|            13|            1|
|  50|      11|      0|    0.78|  0.88|                 7|              9|              8|               0|     11|            11|            1|
|  51|      21|      0|    0.81|  0.77|                17|             21|             22|               4|     21|            21|            1|
|  52|      41|      0|    0.76|  0.80|                32|             42|             40|               5|     41|            41|            1|
|  53|      18|      0|    0.92|  0.92|                12|             13|             13|               0|     18|            18|            1|
|  54|      11|      0|    1.00|  1.00|                 9|              9|              9|               0|     11|            11|            1|
|  55|      23|      0|    0.58|  0.52|                11|             19|             21|               6|     23|            23|            1|
|  56|      23|      0|    0.82|  0.88|                14|             17|             16|               1|     23|            23|            1|
|  57|      33|      0|    0.88|  0.88|                28|             32|             32|               2|     33|            33|            1|
|  58|      28|      0|    0.85|  0.89|                17|             20|             19|               1|     28|            28|            1|
|  59|      22|      0|    0.88|  0.88|                14|             16|             16|               1|     22|            22|            1|
|  60|      14|      0|    0.64|  0.82|                 9|             14|             11|               2|     14|            14|            1|
|  61|      27|      0|    1.00|  1.00|                22|             22|             22|               0|     27|            27|            1|
|  62|      24|      0|    0.77|  0.77|                17|             22|             22|               2|     24|            24|            1|
|  63|      15|      0|    0.60|  0.69|                 9|             15|             13|               2|     15|            15|            1|
|  64|      24|      0|    0.84|  0.84|                16|             19|             19|               1|     24|            24|            1|
|  65|      17|      0|    0.94|  1.00|                16|             17|             16|               0|     17|            17|            1|
|  66|       4|      0|    1.00|  1.00|                 1|              1|              1|               0|      4|             4|            1|
|  67|       3|      0|    1.00|  1.00|                 1|              1|              1|               0|      3|             3|            1|
|  68|      31|      0|    0.86|  0.82|                18|             21|             22|               2|     31|            31|            1|
|  69|       5|      0|    1.00|  1.00|                 4|              4|              4|               0|      5|             5|            1|
|  70|      20|      0|    1.00|  1.00|                17|             17|             17|               0|     20|            20|            1|
|  71|      18|      0|    1.00|  1.00|                11|             11|             11|               0|     18|            18|            1|
|  72|      31|      0|    0.85|  0.89|                17|             20|             19|               0|     31|            31|            1|
|  73|      12|      0|    1.00|  0.78|                 7|              7|              9|               0|     12|            12|            1|
|  74|       3|      0|    1.00|  1.00|                 1|              1|              1|               0|      3|             3|            1|
|  75|      31|      0|    1.00|  0.95|                20|             20|             21|               0|     31|            31|            1|
|  76|      27|      0|    0.95|  1.00|                19|             20|             19|               0|     27|            27|            1|
|  77|      19|      0|    0.81|  0.87|                13|             16|             15|               2|     19|            19|            1|
|  78|      13|      0|    0.64|  0.64|                 9|             14|             14|               4|     13|            13|            1|
|  79|      57|      0|    0.49|  0.54|                27|             55|             50|              17|     57|            57|            1|
|  80|      36|      0|    0.91|  0.87|                20|             22|             23|               0|     36|            36|            1|
|  81|      54|      0|    0.90|  0.84|                36|             40|             43|               1|     54|            54|            1|
|  82|      19|      0|    0.86|  0.86|                18|             21|             21|               1|     19|            19|            1|
|  83|      33|      0|    1.00|  0.88|                21|             21|             24|               0|     33|            33|            1|
|  84|      32|      0|    1.00|  0.96|                26|             26|             27|               0|     32|            32|            1|
|  85|      27|      0|    0.82|  0.74|                14|             17|             19|               1|     27|            27|            1|
|  86|      22|      0|    1.00|  0.94|                16|             16|             17|               0|     22|            22|            1|
|  87|      31|      0|    0.91|  0.84|                21|             23|             25|               2|     31|            31|            1|
|  88|      37|      0|    0.78|  0.72|                21|             27|             29|               2|     37|            37|            1|
|  89|      36|      0|    0.76|  0.79|                19|             25|             24|               2|     36|            36|            1|
|  90|      23|      0|    1.00|  1.00|                17|             17|             17|               0|     23|            23|            1|
|  91|      53|      0|    0.78|  0.72|                31|             40|             43|               4|     53|            53|            1|
|  92|      31|      0|    0.85|  0.81|                22|             26|             27|               3|     31|            31|            1|
|  93|      23|      0|    1.00|  0.95|                18|             18|             19|               0|     23|            23|            1|
|  94|      29|      0|    1.00|  1.00|                29|             29|             29|               0|     29|            29|            1|
|  95|      28|      0|    0.81|  0.85|                17|             21|             20|               1|     28|            28|            1|
|  96|      30|      0|    0.87|  0.87|                27|             31|             31|               0|     30|            30|            1|
|  97|      10|      0|    0.90|  1.00|                 9|             10|              9|               0|     10|            10|            1|
|  98|      52|      0|    0.76|  0.81|                34|             45|             42|               6|     52|            52|            1|
|  99|      42|      0|    0.58|  0.66|                19|             33|             29|               7|     42|            42|            1|
| 100|      17|      0|    0.93|  0.93|                13|             14|             14|               0|     17|            17|            1|
| 101|      15|      0|    1.00|  1.00|                12|             12|             12|               0|     15|            15|            1|
| 102|       5|      0|    0.83|  1.00|                 5|              6|              5|               0|      5|             5|            1|
| 103|      33|      0|    0.96|  0.93|                25|             26|             27|               1|     33|            33|            1|
| 104|      11|      0|    1.00|  1.00|                 7|              7|              7|               0|     11|            11|            1|
| 105|      36|      0|    0.70|  0.68|                21|             30|             31|               2|     36|            36|            1|
| 106|      54|      0|    0.58|  0.62|                25|             43|             40|              14|     54|            54|            1|
| 107|      15|      0|    0.80|  0.86|                12|             15|             14|               2|     15|            15|            1|
| 108|      33|      0|    0.91|  0.91|                20|             22|             22|               1|     33|            33|            1|
| 109|      32|      0|    0.80|  0.70|                16|             20|             23|               1|     32|            32|            1|
| 110|      40|      0|    0.73|  0.73|                27|             37|             37|               5|     40|            40|            1|
| 111|       8|      0|    1.00|  1.00|                 3|              3|              3|               0|      8|             8|            1|
| 112|      22|      0|    1.00|  0.94|                16|             16|             17|               0|     22|            22|            1|
| 113|      44|      0|    0.47|  0.43|                15|             32|             35|               8|     44|            44|            1|
| 114|      18|      0|    1.00|  1.00|                15|             15|             15|               0|     18|            18|            1|
| 115|      22|      0|    0.92|  0.92|                12|             13|             13|               1|     22|            22|            1|
| 116|      22|      0|    0.69|  0.69|                11|             16|             16|               4|     22|            22|            1|
| 117|      13|      0|    1.00|  1.00|                 7|              7|              7|               0|     13|            13|            1|
| 118|      26|      0|    0.50|  0.61|                14|             28|             23|               5|     26|            26|            1|
| 119|      21|      0|    1.00|  1.00|                13|             13|             13|               0|     21|            21|            1|
| 120|      26|      0|    0.69|  0.75|                18|             26|             24|               5|     26|            26|            1|
| 121|      19|      0|    0.93|  0.93|                14|             15|             15|               0|     19|            19|            1|
| 122|      19|      0|    1.00|  1.00|                20|             20|             20|               0|     19|            19|            1|
| 123|       5|      0|    1.00|  1.00|                 4|              4|              4|               0|      5|             5|            1|
| 124|      24|      0|    0.95|  1.00|                19|             20|             19|               0|     24|            24|            1|
| 125|      21|      0|    0.94|  0.81|                17|             18|             21|               1|     21|            21|            1|
| 126|      27|      0|    1.00|  1.00|                18|             18|             18|               0|     27|            27|            1|
| 127|      11|      0|    1.00|  1.00|                11|             11|             11|               0|     11|            11|            1|
| 128|      13|      0|    1.00|  1.00|                10|             10|             10|               0|     13|            13|            1|
| 129|      44|      0|    0.70|  0.74|                23|             33|             31|               3|     44|            44|            1|
| 130|      20|      0|    0.82|  0.88|                14|             17|             16|               1|     20|            20|            1|
| 131|      20|      0|    1.00|  0.93|                14|             14|             15|               0|     20|            20|            1|
| 132|      30|      0|    0.78|  0.82|                18|             23|             22|               1|     30|            30|            1|
| 133|      58|      0|    0.84|  0.86|                36|             43|             42|               5|     58|            58|            1|
| 134|      21|      0|    0.86|  0.86|                12|             14|             14|               0|     21|            21|            1|
| 135|      27|      0|    0.95|  0.95|                19|             20|             20|               0|     27|            27|            1|
| 136|      21|      0|    0.68|  0.81|                13|             19|             16|               3|     21|            21|            1|
| 137|      13|      0|    1.00|  1.00|                10|             10|             10|               0|     13|            13|            1|
| 138|      25|      0|    0.95|  0.95|                18|             19|             19|               0|     25|            25|            1|
| 139|      34|      0|    1.00|  1.00|                21|             21|             21|               0|     34|            34|            1|
| 140|      13|      0|    1.00|  1.00|                10|             10|             10|               0|     13|            13|            1|
| 141|      20|      0|    1.00|  1.00|                12|             12|             12|               0|     20|            20|            1|
| 142|      39|      0|    0.78|  0.84|                21|             27|             25|               4|     39|            39|            1|
| 143|      30|      0|    0.77|  0.87|                20|             26|             23|               0|     30|            30|            1|
| 144|      35|      0|    0.78|  0.78|                21|             27|             27|               2|     35|            35|            1|
| 145|      25|      0|    0.89|  0.85|                17|             19|             20|               1|     25|            25|            1|
| 146|       9|      0|    0.40|  0.29|                 2|              5|              7|               0|      9|             9|            1|
| 147|       8|      0|    0.40|  0.67|                 2|              5|              3|               1|      8|             8|            1|
| 148|      30|      0|    0.57|  0.57|                 8|             14|             14|               3|     30|            30|            1|
| 149|      30|      0|    0.76|  0.73|                16|             21|             22|               2|     30|            30|            1|
| 150|      15|      0|    0.83|  0.91|                10|             12|             11|               0|     15|            15|            1|
| 151|      16|      0|    1.00|  1.00|                 8|              8|              8|               0|     16|            16|            1|
| 152|      19|      0|    0.78|  0.78|                14|             18|             18|               0|     19|            19|            1|
| 153|      20|      0|    1.00|  1.00|                18|             18|             18|               0|     20|            20|            1|
| 154|      10|      0|    1.00|  1.00|                 7|              7|              7|               0|     10|            10|            1|
| 155|      20|      0|    1.00|  1.00|                13|             13|             13|               0|     20|            20|            1|
| 156|      14|      0|    1.00|  1.00|                10|             10|             10|               0|     14|            14|            1|
| 157|      19|      0|    0.93|  1.00|                13|             14|             13|               0|     19|            19|            1|
| 158|      29|      0|    0.92|  0.89|                24|             26|             27|               0|     29|            29|            1|
| 159|      19|      0|    0.68|  0.81|                13|             19|             16|               1|     19|            19|            1|
| 160|       8|      0|    1.00|  1.00|                 6|              6|              6|               0|      8|             8|            1|
| 161|      24|      0|    0.93|  0.82|                14|             15|             17|               0|     24|            24|            1|
| 162|      39|      0|    0.81|  0.81|                17|             21|             21|               3|     39|            39|            1|
| 163|      15|      0|    0.91|  0.83|                10|             11|             12|               0|     15|            15|            1|
| 164|      28|      0|    0.94|  0.88|                15|             16|             17|               0|     28|            28|            1|
| 165|      31|      0|    1.00|  1.00|                21|             21|             21|               0|     31|            31|            1|
| 166|      21|      0|    1.00|  1.00|                16|             16|             16|               0|     21|            21|            1|
| 167|      28|      0|    0.88|  0.92|                22|             25|             24|               0|     28|            28|            1|
| 168|      11|      0|    1.00|  1.00|                 8|              8|              8|               0|     11|            11|            1|
| 169|      23|      0|    0.80|  0.80|                16|             20|             20|               3|     23|            23|            1|
| 170|      27|      0|    0.80|  0.92|                12|             15|             13|               0|     27|            27|            1|
| 171|      16|      0|    1.00|  0.90|                 9|              9|             10|               0|     16|            16|            1|
| 172|      23|      0|    0.94|  0.89|                16|             17|             18|               0|     23|            23|            1|
| 173|      25|      0|    0.81|  0.93|                13|             16|             14|               0|     25|            25|            1|
| 174|      20|      0|    0.67|  0.77|                10|             15|             13|               3|     20|            20|            1|
| 175|      22|      0|    0.78|  0.78|                14|             18|             18|               2|     22|            22|            1|
| 176|      26|      0|    0.78|  0.78|                14|             18|             18|               4|     26|            26|            1|
| 177|      23|      0|    0.83|  0.83|                15|             18|             18|               0|     23|            23|            1|
| 178|      23|      0|    0.91|  0.91|                20|             22|             22|               1|     23|            23|            1|
| 179|       7|      0|    1.00|  1.00|                 4|              4|              4|               0|      7|             7|            1|
| 180|      10|      0|    1.00|  1.00|                 8|              8|              8|               0|     10|            10|            1|
| 181|      49|      0|    0.97|  0.95|                35|             36|             37|               0|     49|            49|            1|
| 182|      29|      0|    0.58|  0.50|                 7|             12|             14|               2|     29|            29|            1|
| 183|      11|      0|    1.00|  0.90|                 9|              9|             10|               0|     11|            11|            1|
| 184|       4|      0|    1.00|  1.00|                 4|              4|              4|               0|      4|             4|            1|
| 185|      11|      0|    1.00|  1.00|                 7|              7|              7|               0|     11|            11|            1|
| 186|      27|      0|    1.00|  0.95|                19|             19|             20|               0|     27|            27|            1|
| 187|      21|      0|    0.80|  0.80|                 8|             10|             10|               1|     21|            21|            1|
| 188|      14|      0|    0.91|  0.83|                10|             11|             12|               0|     14|            14|            1|
| 189|      16|      0|    0.80|  0.89|                 8|             10|              9|               0|     16|            16|            1|
| 190|      38|      0|    0.83|  0.89|                24|             29|             27|               0|     38|            38|            1|
| 191|      19|      0|    0.24|  0.36|                 4|             17|             11|               4|     19|            19|            1|
| 192|       9|      0|    0.83|  0.83|                 5|              6|              6|               0|      9|             9|            1|
| 193|      28|      0|    0.89|  0.85|                17|             19|             20|               1|     28|            28|            1|
| 194|      39|      0|    0.96|  1.00|                23|             24|             23|               0|     39|            39|            1|
| 195|       9|      0|    1.00|  1.00|                 8|              8|              8|               0|      9|             9|            1|
| 196|      26|      0|    0.95|  0.95|                18|             19|             19|               0|     26|            26|            1|
| 197|      16|      0|    0.79|  0.79|                11|             14|             14|               1|     16|            16|            1|
| 198|      12|      0|    1.00|  1.00|                 7|              7|              7|               0|     12|            12|            1|
| 199|      29|      0|    0.88|  0.78|                14|             16|             18|               0|     29|            29|            1|
| 200|      12|      0|    1.00|  1.00|                 8|              8|              8|               0|     12|            12|            1|
| 201|      13|      0|    1.00|  1.00|                11|             11|             11|               0|     13|            13|            1|
| 202|      17|      0|    1.00|  1.00|                12|             12|             12|               0|     17|            17|            1|
| 203|      19|      0|    0.40|  0.50|                 4|             10|              8|               0|     19|            19|            1|
| 204|       7|      0|    1.00|  1.00|                 4|              4|              4|               0|      7|             7|            1|
| 205|      20|      0|    0.94|  0.94|                16|             17|             17|               0|     20|            20|            1|
| 206|      21|      0|    0.67|  0.67|                10|             15|             15|               4|     21|            21|            1|
| 207|      58|      0|    0.83|  0.78|                39|             47|             50|               1|     58|            58|            1|
| 208|      41|      0|    0.87|  0.87|                33|             38|             38|               2|     41|            41|            1|
| 209|      10|      0|    0.60|  0.60|                 3|              5|              5|               1|     10|            10|            1|
| 210|       2|      0|    1.00|  1.00|                 1|              1|              1|               0|      2|             2|            1|
| 211|      25|      0|    0.89|  0.89|                17|             19|             19|               1|     25|            25|            1|
| 212|      33|      0|    0.96|  0.93|                25|             26|             27|               1|     33|            33|            1|
| 213|      28|      0|    0.86|  0.90|                18|             21|             20|               1|     28|            28|            1|
| 214|      33|      0|    0.89|  0.92|                24|             27|             26|               2|     33|            33|            1|
| 215|      41|      0|    0.97|  0.97|                32|             33|             33|               0|     41|            41|            1|
| 216|      27|      0|    0.95|  1.00|                19|             20|             19|               0|     27|            27|            1|
| 217|      19|      0|    0.92|  0.92|                12|             13|             13|               0|     19|            19|            1|
| 218|      30|      0|    0.65|  0.65|                15|             23|             23|               6|     30|            30|            1|
| 219|      21|      0|    1.00|  1.00|                14|             14|             14|               0|     21|            21|            1|
| 220|      18|      0|    0.79|  0.79|                11|             14|             14|               0|     18|            18|            1|
| 221|      27|      0|    1.00|  0.96|                25|             25|             26|               0|     27|            27|            1|
| 222|      22|      0|    1.00|  1.00|                18|             18|             18|               0|     22|            22|            1|
| 223|      27|      0|    1.00|  1.00|                23|             23|             23|               0|     27|            27|            1|
| 224|      34|      0|    0.79|  0.82|                23|             29|             28|               0|     34|            34|            1|
| 225|      31|      0|    0.83|  0.86|                19|             23|             22|               2|     31|            31|            1|
| 226|      33|      0|    0.71|  0.75|                15|             21|             20|               4|     33|            33|            1|
| 227|      26|      0|    0.87|  0.87|                20|             23|             23|               1|     26|            26|            1|
| 228|      53|      0|    0.76|  0.76|                34|             45|             45|               9|     53|            53|            1|
| 229|      19|      0|    1.00|  0.88|                15|             15|             17|               0|     19|            19|            1|
| 230|      35|      0|    0.85|  1.00|                23|             27|             23|               0|     35|            35|            1|
| 231|      29|      0|    0.86|  0.86|                18|             21|             21|               2|     29|            29|            1|
| 232|      28|      0|    0.92|  0.88|                23|             25|             26|               3|     28|            28|            1|
| 233|      33|      0|    0.93|  0.93|                25|             27|             27|               1|     33|            33|            1|
| 234|      38|      0|    0.75|  0.75|                24|             32|             32|               6|     38|            38|            1|
| 235|      27|      0|    0.67|  0.73|                16|             24|             22|               6|     27|            27|            1|
| 236|      29|      0|    0.82|  0.82|                18|             22|             22|               4|     29|            29|            1|
| 237|      15|      0|    1.00|  1.00|                13|             13|             13|               0|     15|            15|            1|
| 238|      23|      0|    0.95|  0.95|                18|             19|             19|               0|     23|            23|            1|
| 239|      22|      0|    1.00|  1.00|                17|             17|             17|               0|     22|            22|            1|
| 240|      20|      0|    1.00|  1.00|                16|             16|             16|               0|     20|            20|            1|
| 241|      14|      0|    0.92|  0.92|                12|             13|             13|               0|     14|            14|            1|
| 242|      24|      0|    0.81|  0.81|                13|             16|             16|               2|     24|            24|            1|
| 243|      15|      0|    1.00|  1.00|                11|             11|             11|               0|     15|            15|            1|
| 244|      19|      0|    0.69|  0.79|                11|             16|             14|               2|     19|            19|            1|
| 245|       9|      0|    1.00|  1.00|                 7|              7|              7|               0|      9|             9|            1|
| 246|      28|      0|    1.00|  1.00|                20|             20|             20|               0|     28|            28|            1|
| 247|      38|      0|    0.93|  0.93|                26|             28|             28|               0|     38|            38|            1|
| 248|      31|      0|    0.88|  0.85|                23|             26|             27|               2|     31|            31|            1|
| 249|      13|      0|    1.00|  1.00|                 9|              9|              9|               0|     13|            13|            1|
| 250|      19|      0|    1.00|  1.00|                12|             12|             12|               0|     19|            19|            1|
| 251|      26|      0|    1.00|  0.95|                21|             21|             22|               0|     26|            26|            1|
| 252|      27|      0|    0.83|  0.83|                15|             18|             18|               1|     27|            27|            1|
| 253|      33|      0|    1.00|  0.96|                25|             25|             26|               0|     33|            33|            1|
| 254|      28|      0|    0.71|  0.75|                15|             21|             20|               2|     28|            28|            1|
| 255|      21|      0|    0.94|  0.94|                17|             18|             18|               0|     21|            21|            1|
| 256|      30|      0|    1.00|  1.00|                23|             23|             23|               0|     30|            30|            1|
| 257|      14|      0|    0.90|  1.00|                 9|             10|              9|               0|     14|            14|            1|
| 258|      32|      0|    1.00|  0.95|                21|             21|             22|               0|     32|            32|            1|
| 259|      32|      0|    0.80|  0.80|                20|             25|             25|               1|     32|            32|            1|
| 260|      21|      0|    1.00|  1.00|                10|             10|             10|               0|     21|            21|            1|
| 261|      19|      0|    0.92|  0.80|                12|             13|             15|               1|     19|            19|            1|
| 262|      17|      0|    0.83|  1.00|                10|             12|             10|               0|     17|            17|            1|
| 263|      19|      0|    0.83|  0.88|                15|             18|             17|               0|     19|            19|            1|
| 264|      14|      0|    1.00|  1.00|                 5|              5|              5|               0|     14|            14|            1|
| 265|      14|      0|    1.00|  1.00|                14|             14|             14|               0|     14|            14|            1|
| 266|       9|      0|    0.50|  0.57|                 4|              8|              7|               0|      9|             9|            1|
| 267|       2|      0|    1.00|  1.00|                 1|              1|              1|               0|      2|             2|            1|
| 268|      16|      0|    1.00|  1.00|                12|             12|             12|               0|     16|            16|            1|
| 269|      24|      0|    0.93|  0.93|                13|             14|             14|               0|     24|            24|            1|
| 270|      10|      0|    1.00|  1.00|                 7|              7|              7|               0|     10|            10|            1|
| 271|      27|      0|    1.00|  0.95|                18|             18|             19|               0|     27|            27|            1|
| 272|      37|      0|    0.86|  0.89|                24|             28|             27|               3|     37|            37|            1|
| 273|      17|      0|    1.00|  1.00|                12|             12|             12|               0|     17|            17|            1|
| 274|      26|      0|    0.94|  0.89|                17|             18|             19|               1|     26|            26|            1|
| 275|      20|      0|    0.95|  1.00|                18|             19|             18|               0|     20|            20|            1|
| 276|      31|      0|    1.00|  1.00|                21|             21|             21|               0|     31|            31|            1|
| 277|      17|      0|    1.00|  1.00|                12|             12|             12|               0|     17|            17|            1|
| 278|      23|      0|    1.00|  1.00|                21|             21|             21|               0|     23|            23|            1|
| 279|      34|      0|    0.85|  0.88|                22|             26|             25|               2|     34|            34|            1|
| 280|      11|      0|    0.88|  0.88|                 7|              8|              8|               0|     11|            11|            1|
| 281|      31|      0|    0.92|  0.92|                24|             26|             26|               0|     31|            31|            1|
| 282|      30|      0|    0.72|  0.75|                21|             29|             28|               3|     30|            30|            1|
| 283|      50|      0|    0.96|  0.96|                45|             47|             47|               1|     50|            50|            1|
| 284|      14|      0|    1.00|  1.00|                11|             11|             11|               0|     14|            14|            1|
| 285|      37|      0|    0.86|  0.89|                25|             29|             28|               2|     37|            37|            1|
| 286|      27|      0|    1.00|  1.00|                26|             26|             26|               0|     27|            27|            1|
| 287|      35|      0|    0.93|  0.96|                26|             28|             27|               0|     35|            35|            1|
| 288|       2|      0|    1.00|  1.00|                 1|              1|              1|               0|      2|             2|            1|
| 289|      27|      0|    0.95|  0.95|                19|             20|             20|               0|     27|            27|            1|
| 290|      30|      0|    0.84|  0.84|                16|             19|             19|               1|     30|            30|            1|
| 291|      25|      0|    0.80|  0.75|                12|             15|             16|               3|     25|            25|            1|
| 292|      20|      0|    0.88|  0.88|                14|             16|             16|               2|     20|            20|            1|
| 293|      12|      0|    0.88|  0.78|                 7|              8|              9|               2|     12|            12|            1|
| 294|       2|      0|    1.00|  1.00|                 1|              1|              1|               0|      2|             2|            1|
| 295|      17|      0|    0.91|  1.00|                10|             11|             10|               0|     17|            17|            1|
| 296|      19|      0|    0.93|  1.00|                13|             14|             13|               0|     19|            19|            1|
| 297|      28|      0|    1.00|  1.00|                23|             23|             23|               0|     28|            28|            1|
| 298|      19|      0|    0.80|  0.86|                12|             15|             14|               1|     19|            19|            1|
| 299|      32|      0|    0.76|  0.79|                26|             34|             33|               7|     32|            32|            1|
| 300|      23|      0|    0.94|  0.94|                16|             17|             17|               0|     23|            23|            1|
| 301|      18|      0|    0.93|  1.00|                13|             14|             13|               0|     18|            18|            1|
| 302|      32|      0|    0.67|  0.78|                14|             21|             18|               3|     32|            32|            1|
| 303|       5|      0|    1.00|  1.00|                 1|              1|              1|               0|      5|             5|            1|
| 304|      41|      0|    0.97|  0.97|                32|             33|             33|               1|     41|            41|            1|
| 305|      33|      0|    0.86|  0.95|                19|             22|             20|               1|     33|            33|            1|
| 306|      11|      0|    1.00|  1.00|                 7|              7|              7|               0|     11|            11|            1|
| 307|      17|      0|    1.00|  1.00|                11|             11|             11|               0|     17|            17|            1|
| 308|      18|      0|    1.00|  1.00|                11|             11|             11|               0|     18|            18|            1|
